name,address
58 COIN,rKSU67YATC7hJ8Y3CU4GKPBDhQYS2sQ5hG
AAX,rPPMHM8cgMamivU7s2VBVLXuMr7Dp18DoU
ACE Exchange,rM1jLHkWjPvRmrFGFR8Lfit2CJpQ943cRV
AEX,rNdxqV8iU2eomFm186YkWUvNzoR9iyyEkR
AlphaEx,rQBTTasbev5FY8gKJAE2ZxXaPw2v2NcFFx
AltCoinTrader,r34mWrX3cZCZpJEsqe1F6PNotREXwj1f3r
Anycoin Direct,rKWwHKXcuK9RuooGLwo19ThvSzTvtA1usD
B2BX,rh1Qs81SBNLXzg1hQppVH53FDqfoE9NZFd
BC.Game,raGSfQHWoGqWneCpxKMJcJrSaMzf1sSHyT
BINANCE.US,rMvYS27SYs5dXdFsUgpvv1CSrPsCz7ePF5
BKEX,r4Q5vVUA5rCLdB4UQyQgM9U485nLeZF1dK
BTC Markets,rL3ggCUKaiR1iywkGW6PACbn3Y8g5edWiY
BTC Trade UA,rpd6t1Z7o4ME2jgzhfBjYUwhpEcBnZufGG
BTC38,rfKeuNcxyuKRK8QH5VmcxKfsVgPdSxwGpj
BTCTurk,rGmmsmyspyPsuBT4L5pLvAqTjxYqaFq4U5
BW,rKm6XqTFgJUpwwHhuXoPdGPtcbEhtj3Sza
Baobi,rJGjWWEb2bpByfkFvCay8yyaN1hio1hKzw
Betcoin,r3cqB3R4unSwgSHkb2PVckEn3XkT2geRPA
Bibox,rHZQVErv6UZTtkM4NVexS1Z5dTvuek2RbX
BigONE,ra8F9swTXUhBUCjjDUdWX8XiqNzFjrN2CW
Biki,r9hCYQF3WeENSu3KE2vjHXVzmw6B4CNbnX
Binance,rhQADfs6UxfP7iUPwsU7b3uwDVQLLgFcu8
Binance,rJb5KsHsDHF1YS5B5DU6QCkH5NsPaKQTcy
Bit-Z,rGtW6G759bNNS72QKazhuVoEY16rPot9EG
BitForex,rPSJ1TdurLDkgiptGUgvGii72tWto2cQBA
BitKong,rDrCT3MbNsVFyCP4Uie8JogZG3LEsEfkA6
BitMarket,rHBaA51ytgay6J93kWWhsYWMCDLyymtd46
BitMax,rGosnFbyfdSmMBBf7XX9Jrn9v5f7Bb5LHx
Bitay,rHkNWoqyea4HpMKzJJ66d7fgg2xLZV1Jg3
Bitberry,r9d2b9dhS3tdyGcdxcwgW6kagLMvKsdtMp
Bitbns,rKLnxheMUEeGyD2s7hD6wKPiTYdybC1Bzv
Bitget Global,rGDreBvnHrX1get7na3J4oowN19ny4GzFn
Bithumb,rEtC4xAYJvtwDLJ9jZ4kHRHKbNoLLxSnfb
Bithumb,rNTkgxs5WG5mU5Sz26YoDVrHim5Y5ohC7
Bitladon,rDgP14awuo2bGhmdMRbBaJRp1dVMM1pCvK
Bitlo,rf6NHmj8ADHCE13RxuMSeRmdoMBCpa4WXd
BitoPro,rJvBpqnsi3VGFnoJLjK9HysEzXn8ykYZ2w
Bitrue,raLPjTYeGezfdb6crXZzcC8RkLBEwbBHJ5
Bitsdaq,rNh4YSHxzuPb3QhcV7EWime6Jc5C8YcRYH
Bitsonic,rUzjDaX6ScZ5u1PmD61RB2jYVE8tzGUuhb
Bitstamp,rGFuMiw48HdbnrUbkRYuitXTmfrDBNTCnX
Bityard,rpAutLriSEdPS8brFQoCyK1HqN1nDw5ipD
BuyUcoin,rDWLx1Z9xQsYeyX8apW9NAs2ivxEeJwjzB
Bybit,rMrgNBrkE6FdCjWih5VAWkGMrmerrWpiZt
Bybit,rJn2zAPdFA193sixJwuFixRkYDUtx3apQh
CAT.EX,r9tpZviHvxJpGMgGpbPfUJVEBAZ2Whoh2c
CROSS exchange,r9FHHLfFxHHzX7mj7bdQWieuCxgFj4HnuG
Caramba XRP Wallet,raqwG6TnXgjsRHq9gr34ZYeniHUS3ai33z
ChangeHero,r9m6MwViR4GnUNqoGXGa8eroBrZ9FAPHFS
Changelly,rpp3ntAuXo24Ne2qvPs52mcciXe7Zy6Wcf
CoinCola,raTjYCE2ForijAiCsjywXQ3WTq58U42gyq
CoinDCX,raSLkv529QyqKAPLK1z3mDsNa8a6RLt2ok
CoinDeal,r31r8Z93jwWwZfuDwo8XzSJCQvLX8qAy3W
CoinField,rwNqWuAYXvkyyTjybKFze5F3ekZXULSz8J
CoinGate,rPyFs5kpbiiawSdP9JGdaYM33zfUUah1TY
CoinSpot,rBgnUKAEiFhCRLPoYNPPe3JUWayRjP6Ayg
Coinbase,rwpTh9DDa52XkM9nTKp2QrJuCGV5d1mQVP
Coinbase,r3YsZdkznVzYBv141qhwXHDWoPUXLdksNw
Coinbase,r4sRyacXpbh4HbagmgfoQq8Q3j8ZJzbZ1J
Coindelta,r9QA3mVFQ7V4CE8uGVaeGGDGgeAFc8rsPF
Coinsbit,r9gKYg9H2HJu5arFmRw14VhZSkqVtBD9V7
Coinsuper,r33A7DdKzxenN7dNowJhXDhpr5y5H8CnBT
Crypto.com,rPHNKf25y3aqATYfrMv9LQnTRHQUYELXfn
Crypto.com,rKV8HEL3vLc6q9waTiJcewdRdSFyx67QFb
CryptoBridge,rGgP9356daGzSYeRpnbATakrHc3ejAxuaP
Dcoin,rLW9fNRyv6pxz6Skr8BsCP7PEWNG3vUvLT
DigiFinex,rnG2XVwdULE5mfWA5EFxnyTkUGgg2K39AP
Dropz,rAPERVgXZavGgiGv6xBgtiZurirW2yAmY
EMAGIC,rhhCb6u4dKPrm39erK2u8WGKuPh5DSuyxn
Einstein Exchange,rHgQvW5yVURn2zN816frxwEhamLHYPdvEV
Eobot,rB1za2ZVgDnNB7u8LbVN61k5nCByBUtXCA
Exchanging.ir,rwYwM2BJkeuHRsNaeacBc3zNFkk7QSKZk
Exrates,rpTxdXAm6AcW8S6ewpGeccKaMXcppz7kVZ
FCoin,rHzyKrq1AnCFTEv1yvmpcEhh5KJjttsEN8
Felixo,rhpPGJ88DGZkKoiioSycA2iedkx2BmvPav
Foblgate,rh93L8ch38gkCjqcFvGRxnvRicPcP5DnSk
GMO Coin,rav4ti22NyMgD1WbGKoRy62hUL75dq8w4u
GOEX,rJWmcHHjFJatBEQd3R6B6rE3WvSpxCiTpP
GigaBet,r4LjTj87UYbz7zHx6T1nBuVg8oHwBYLfob
HBTC,rskZBJCS5ZygxsP2tAZ2gRCwSuyh9dgaXM
HBTC,rNWLvz9K5bgNcLwUDPAKgnmfopZx3zSvg3
HOTBIT,rGzqpy3BaFNcXXqYsKAhFp4HNJGnLFZdnb
IDAX,ryhodNXe7dS1QSJJhR8EqniDNh56CiReC
INDX,r4FhxAcdu5UPiFY5FSYtrEKigHdcSysRdu
NDAX,rrpai2TwrdPn7UDjfTpCsyJCRtfKiPvuFK
Indodax,rwWr7KUZ3ZFwzgaDGjKBysADByzxvohQ3C
InstaShift,rGoPEumGn3SJsxttBJscndgSJojJwi4Rr2
IntercoinX,rnZUmzP9Lui7VHL9vAwpWZbqYkcxe3U93m
KuCoin,rNFugeoj3ZN8Wv6xhuLegUBBPXKCyWLRkB
KuCoin,rEW8BjpMyFZfGMjqbykbhpnr4KEb2qr6PC
Kuna,rMtb2JEX8xmcgSKxCB7aZPDyzyVhbM2RzV
L7 Trade,rNg5DoPJmPiHqfqQVZngi6B9PyVnmoFWzF
LATOKEN,rnZwDSjUvyYnKm2iQcdP4WtcGYsx2QD3A6
Liquid,rENMoQvSHtb8sZwsxfefSGNZ7RQ89pd93H
Livecoin,r4zsY82bVippLpS7K7ru5xUReyvX1JQktX
LuckyFish,rQL3rmtijDT33ytPXdJd41bG3Rpa2ZyfqN
Luckygames,rK7LSKygRUu9y9xcuhkWbcMRKRF5HVWwVL
Netex24,rs4zfQ4vNyYsfpL6GaJ7in7mnuDDzYjGgs
Netex24,r9Knt1X7s4kTtmLiCTEairzAbmZoXnU8GQ
Nexo,rnuPTVikw8HKK4hBGCtnq2J2433VYaZPZQ
NovaDAX,rHxtRRUMVAnPZUyRgXhRSyWZ2MrHx8AvVs
OKEx,rUzWJkXyEtT8ekSSxkBYPqCvHpngcy6Fks
OTCBTC,r4YC1aD49aHtm33Az1vxhfBbLp3VCkvEuT
Orionx,rhQrkgoV4uza557mW6HbBWMtTDkB7u5yrs
PDAX,rKvAtitwmaYVFG8GwDmUSyqo71YMbeBSwn
Paribu,rKdDdrbU3MedsG7VtBAir4RjC35tzjDZnr
Paribu,rHWcuuZoFvDS6gNbmHSdpb7u1hZzxvCoMt
Payeer,rshvnxLDE9Jsm8sJxPxct425HhQC2tk5CV
Peercover,ra9eZxMbJrUcgV8ui7aPc161FgrqWScQxV
Phemex,rLMAAuqJowC5yMccaPnappeLM8vDfdiDTg
Pionex,rw5z4hdpz6qUyjGXSZwfyAVZHK7r3hsbPz
Primedice,r3a44BXpsPN7z6dKLgsCzjodkzREpsqotT
Quidax,rnNQs4WAKUHes7kJtqqRiU3Wq9q1pHuDEt
RippleCN,rajgeXpN88PNquRcaBXKH7uuVsPMq7aP47
Roqqu,rHxsZo42NrTq1hC9dcnS8KAuvc8LrNdbpn
Satang Pro,r97GkTsoEbQ4HbXnkssVeMK3bxtcre7Az2
ShapeShift,rwfGzgd4bUStS9gA5xUhCmg1J86TMtmGMo
SportsBetting.ag,rMo2aHtuUSAXe4TpJFuiRMH43xtTwvu13G
Stake,rnqZnvzoJjdg7n1P9pmumJ7FQ5wxNH3gYC
Stake,razLtrbzXVXYvViLqUKLh8YenGLJid9ZTW
Stakeus,rBndy89HdamJ3UHNekAS6ALjW9WoCE2W5s
Steemiex/Ripplerm,r3dpA9FBczceWTWh4FRquuSvEVaQyU3GNg
Stratum,rMkfgicNKuCfXojDhcX4W2LnGoHFqhFrr6
Stronghold,r4qj7xd6eJDt6Jv7VVXZ2mLGDpMyiQz8i3
Toast Wallet,rToastMYRQh8boeo5Ys1CnPySmt3c9x3Y
Tradesatoshi,r9VoqvUwZipzbVfMXzDkSBvdv38CapKywg
UPbit,rEahGW5VLYQH2vGBfFmbv9BBpWSTDoukGR
UPbit,rBszWJzYpNoqoY4xKuGUpN23b6EBT41ocF
UPbit,rJYQKfsTi8XCLZ1vGSf9CxiL4prz5bvbtz
UPbit,rEVrb2XPMxs3Wq1zKgFaYZers9nKCWUNd5
UPbit,raQwCVAJVqjrVm1Nj5SFRcX8i22BhdC9WA
UPbit,rf5bXWkMj9iva8QGupNREgWptbvwWJCxL9
UPbit,rfpbRmkL6uUAPUG9zQEgTTxBr7drihXndi
WBF,r3qFw9ffMG1k8WHqLMs4585M7JVoDZcGr7
WOLF.BET,rhSzJtTrgfaTAqtqqVNQNgMghauCCwN5K6
WazirX,rwuAm7XdcP3SBwgJrVthCvCzU7kETJUUit
WazirX,rNxCw7HUbd51dvUMUyC7ju5XivXmCM1Bvr
WestWallet,rUuQJ8oPkR6eCC81C8kgyxPMZCLTJokXxs
XRP.io,rfwWwz7yrvBCVY1RWdnZ4Uk1va7WpiWxNX
Yobit,rPBMDP7CGiKzMvPx6SsCGgeDsrsUyv1K1b
abcc,rPR82pZSV8xKWukAkvaoKKVn2W9eNBN97s
bitbns,r4VaPEKo4XoU27bCREgsTdbfKrKwNxJ1Cm
btb.io,rEDavo5NTm8ct5WfiNRDz1QP75Y5d62zj5
d-obmen.cc,rxcAtcu1RfMLjFbmQJfoYNr3BHopJr3WA
fatbtc,rsVrxrWo3xreoBLQweUchD3pABS6eYHeKu
jubi.com,rpJrC46bPSUiWwTuuRGSiqHdSaCNWTFBZv
